dataset;id;label;datatype;mandatory;decimals;minlength;maxlength;formatname;contentlength;id_;categorical;value_labels;cols_abb
ie;ieex5;Exclusion criteria 5;text;TRUE;NA;1;NA;YNFMT;2;IEEX5;1;;c
ie;ieex5cd;Exclusion criteria 5 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX5CD;2;;i
ie;ieex6;Exclusion criteria 6;text;TRUE;NA;1;NA;YNFMT;2;IEEX6;1;;c
ie;ieex6cd;Exclusion criteria 6 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX6CD;2;;i
ie;ieex7;Exclusion criteria 7;text;TRUE;NA;1;NA;YNFMT;2;IEEX7;1;;c
ie;ieex7cd;Exclusion criteria 7 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX7CD;2;;i
ie;ieex8;Exclusion criteria 8;text;TRUE;NA;1;NA;YNFMT;2;IEEX8;1;;c
ie;ieex8cd;Exclusion criteria 8 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX8CD;2;;i
ie;ieex9;Exclusion criteria 9;text;TRUE;NA;1;NA;YNNAFMT;2;IEEX9;1;;c
ie;ieex9cd;Exclusion criteria 9 - Code;integer;TRUE;NA;1;NA;YNNAFMT;2;IEEX9CD;2;;i
ie;ieex10;Exclusion criteria 10;text;TRUE;NA;1;NA;YNNAFMT;2;IEEX10;1;;c
ie;ieex10cd;Exclusion criteria 10 - Code;integer;TRUE;NA;1;NA;YNNAFMT;2;IEEX10CD;2;;i
ie;ieex11;Exclusion criteria 11;text;TRUE;NA;1;NA;YNFMT;2;IEEX11;1;;c
ie;ieex11cd;Exclusion criteria 11 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX11CD;2;;i
ie;ieex12;Exclusion criteria 12;text;TRUE;NA;1;NA;YNFMT;2;IEEX12;1;;c
ie;ieex12cd;Exclusion criteria 12 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX12CD;2;;i
ie;ieex13;Exclusion criteria 13;text;TRUE;NA;1;NA;YNFMT;2;IEEX13;1;;c
ie;ieex13cd;Exclusion criteria 13 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX13CD;2;;i
ie;ieex14;Exclusion criteria 14;text;TRUE;NA;1;NA;YNNAFMT;2;IEEX14;1;;c
ie;ieex14cd;Exclusion criteria 14 - Code;integer;TRUE;NA;1;NA;YNNAFMT;2;IEEX14CD;2;;i
ie;ieex15;Exclusion criteria 15;text;TRUE;NA;1;NA;YNFMT;2;IEEX15;1;;c
ie;ieex15cd;Exclusion criteria 15 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX15CD;2;;i
ie;ieex16;Exclusion criteria 16;text;TRUE;NA;1;NA;YNNAFMT;2;IEEX16;1;;c
ie;ieex16cd;Exclusion criteria 16 - Code;integer;TRUE;NA;1;NA;YNNAFMT;2;IEEX16CD;2;;i
ie;ieex17;Exclusion criteria 17;text;TRUE;NA;1;NA;YNFMT;2;IEEX17;1;;c
ie;ieex17cd;Exclusion criteria 17 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX17CD;2;;i
ie;ieex18;Exclusion criteria 18;text;TRUE;NA;1;NA;YNFMT;2;IEEX18;1;;c
ie;ieex18cd;Exclusion criteria 18 - Code;integer;TRUE;NA;1;NA;YNFMT;1;IEEX18CD;2;;i
ie;ieex19;Exclusion criteria 19;text;TRUE;NA;1;NA;YNNAFMT;2;IEEX19;1;;c
ie;ieex19cd;Exclusion criteria 19 - Code;integer;TRUE;NA;1;NA;YNNAFMT;2;IEEX19CD;2;;i
ie;iedat;Inclusion date;date;TRUE;NA;1;NA;NA;10;IEDAT;0;;c
ds;dsdia;Diagnosis;text;FALSE;NA;1;NA;STAGEFMT;28;DSDIA;1;;c
ds;dsdiacd;Diagnosis - Code;string;FALSE;NA;1;NA;STAGEFMT;28;DSDIACD;2;;c
ds;dsardat;Disease progression date;date;TRUE;NA;1;NA;NA;10;DSARDAT;0;;c
ds;dsurgdat;Surgery date;date;TRUE;NA;1;NA;NA;10;DSURGDAT;0;;c
ds;dsdiacom;Comment (optional);text;FALSE;NA;1;NA;NA;50;DSDIACOM;0;;c
ds;dsidh;IDH1/2 mutation;text;TRUE;NA;1;NA;PNNAFMT;14;DSIDH;1;;c
ds;dsidhcd;IDH1/2 mutation - Code;integer;TRUE;NA;1;NA;PNNAFMT;2;DSIDHCD;2;;i
ds;dsmgmt;MGMT status;text;TRUE;NA;1;NA;PNNAFMT;14;DSMGMT;1;;c
ds;dsmgmtcd;MGMT status - Code;integer;TRUE;NA;1;NA;PNNAFMT;2;DSMGMTCD;2;;i
ds;dspdl1;PD-L1 expression;text;TRUE;NA;1;NA;PNNAFMT;14;DSPDL1;1;;c
ds;dspdl1cd;PD-L1 expression - Code;integer;TRUE;NA;1;NA;PNNAFMT;2;DSPDL1CD;2;;i
ds;dsmutcom;Comment (optional);text;FALSE;NA;1;NA;NA;0;DSMUTCOM;0;;c
ds;dsluntyp;Type of lung cancer;text;TRUE;NA;1;NA;DSLTCFMT;13;DSLUNTYP;1;;c
ds;dsluntypcd;Type of lung cancer - Code;integer;TRUE;NA;1;NA;DSLTCFMT;2;DSLUNTYPCD;2;;i
ds;dsluntyp__2;Type of lung cancer__2;text;TRUE;NA;1;NA;DSLTCFMT__2F;0;DSLUNTYP__2;1;;c
ds;dsluntyp__2cd;Type of lung cancer__2 - Code;integer;TRUE;NA;1;NA;DSLTCFMT__2F;0;DSLUNTYP__2CD;2;;i
ds;dsltydes;Other type of lung cancer;text;TRUE;NA;1;NA;NA;19;DSLTYDES;0;;c
ds;dslunmut;NA;text;TRUE;NA;1;NA;DSLMUFMT;5;DSLUNMUT;1;;c
ds;dslunmutcd;- Code;integer;TRUE;NA;1;NA;DSLMUFMT;2;DSLUNMUTCD;2;;i
ds;dslundes;Please specify;text;TRUE;NA;1;NA;NA;9;DSLUNDES;0;;c
ds;dspctrea;Chemotherapy;text;TRUE;NA;1;NA;YNFMT;0;DSPCTREA;1;;c
