dataset;id;label;datatype;mandatory;decimals;minlength;maxlength;formatname;contentlength;id_;categorical;value_labels;cols_abb
vs;vsrea;Reason not performed;text;TRUE;NA;1;NA;NA;85;VSREA;0;;c
vs;vsdat;Date;date;TRUE;NA;1;NA;NA;10;VSDAT;0;;c
vs;vsweight;Weight (kg);double;TRUE;1;1;NA;NA;5;VSWEIGHT;0;;d
vs;vsheight;Height (cm);double;TRUE;0;1;NA;NA;3;VSHEIGHT;0;;d
vs;vsbmi;BMI;double;FALSE;1;1;NA;NA;4;VSBMI;0;;d
vs;vssys;Systolic blood pressure;double;TRUE;0;1;NA;NA;3;VSSYS;0;;d
vs;vsdia;Diastolic blood pressure;double;TRUE;0;1;NA;NA;3;VSDIA;0;;d
vs;vspulse;Pulse Rate;double;TRUE;0;1;NA;NA;3;VSPULSE;0;;d
ecg;ecgyn;12-lead ECG performed?;text;TRUE;NA;1;NA;YNFMT;3;ECGYN;1;;c
ecg;ecgyncd;12-lead ECG performed? - Code;integer;TRUE;NA;1;NA;YNFMT;1;ECGYNCD;2;;i
ecg;ecgdat;Date of 12-lead ECG;date;TRUE;NA;1;NA;NA;10;ECGDAT;0;;c
ecg;ecgnd;Reason not measured;text;TRUE;NA;1;NA;NA;38;ECGND;0;;c
ecg;ecgorres;ECG result;text;TRUE;NA;1;NA;ABNCSFMT;36;ECGORRES;1;;c
ecg;ecgorrescd;ECG result - Code;integer;TRUE;NA;1;NA;ABNCSFMT;1;ECGORRESCD;2;;i
ecg;ecgspec;Abnormality;text;TRUE;NA;1;NA;NA;38;ECGSPEC;0;;c
ecg;ecgcom;Abnormality;text;FALSE;NA;1;NA;NA;50;ECGCOM;0;;c
qlq;qlqc3yn;EORTC QOL-C30 completed;text;TRUE;NA;1;NA;YNFMT;3;QLQC3YN;1;;c
qlq;qlqc3yncd;EORTC QOL-C30 completed - Code;integer;TRUE;NA;1;NA;YNFMT;1;QLQC3YNCD;2;;i
qlq;qlqc3nd;EORTC QOL-C30 not performed;text;TRUE;NA;1;NA;NA;45;QLQC3ND;0;;c
qlq;qlqc3dat;EORTC QLQ-C30 completion date;date;TRUE;NA;1;NA;NA;10;QLQC3DAT;0;;c
qlq;qlqc3sc;EORTC QLQ-C30 score;double;FALSE;0;1;NA;NA;2;QLQC3SC;0;;d
qlq;qlq1;QLQ Question 1;text;FALSE;NA;1;NA;QLQ30FMT;20;QLQ1;1;;c
qlq;qlq1cd;QLQ Question 1 - Code;integer;FALSE;NA;1;NA;QLQ30FMT;1;QLQ1CD;2;;i
qlq;qlq2;QLQ Question 2;text;FALSE;NA;1;NA;QLQ30FMT;20;QLQ2;1;;c
qlq;qlq2cd;QLQ Question 2 - Code;integer;FALSE;NA;1;NA;QLQ30FMT;1;QLQ2CD;2;;i
qlq;qlq3;QLQ Question 3;text;FALSE;NA;1;NA;QLQ30FMT;20;QLQ3;1;;c
qlq;qlq3cd;QLQ Question 3 - Code;integer;FALSE;NA;1;NA;QLQ30FMT;1;QLQ3CD;2;;i
qlq;qlq4;QLQ Question 4;text;FALSE;NA;1;NA;QLQ30FMT;20;QLQ4;1;;c
qlq;qlq4cd;QLQ Question 4 - Code;integer;FALSE;NA;1;NA;QLQ30FMT;1;QLQ4CD;2;;i
qlq;qlq5;QLQ Question 5;text;FALSE;NA;1;NA;QLQ30FMT;20;QLQ5;1;;c
qlq;qlq5cd;QLQ Question 5 - Code;integer;FALSE;NA;1;NA;QLQ30FMT;1;QLQ5CD;2;;i
qlq;qlq6;QLQ Question 6;text;FALSE;NA;1;NA;QLQ30FMT;20;QLQ6;1;;c
