formatname,datatype,codevalue,codetext
CTRTFMT,integer,5,Temozolomide
CTRTFMT,integer,6,Lomustine
CTRTFMT,integer,7,Chemotherapy
CTRTFMT,integer,8,Immunotherapy combined with Chemotherapy
CTRTFMT,integer,9,Immunotherapy
CTRTFMT,integer,10,Targeted therapy/TKI
CTRTFMT,integer,99,Other
DIAFMT,string,1,Recurrent glioblastoma
DIAFMT,string,2,Newly diagnosed glioblastoma
DIAFMT,string,3,Brain metastases
DOSEFMT,string,0,0mg
DOSEFMT,string,25,25mg
DOSEFMT,string,50,50mg
DOSEFMT,string,100,100mg
DOSFMT,integer,25,25mg
DOSFMT,integer,50,50mg
DOSFMT,integer,100,100mg
DPROGFMT,integer,1,Radiographic by RANO
DPROGFMT,integer,2,By clinical
DPROGFMT,integer,3,Radiographic by RANO and by clinical
DSFMT,integer,1,Alive
DSFMT,integer,2,Dead
DSLMUFMT,integer,1,EGFR mutation
DSLMUFMT,integer,2,ALK translocation
DSLMUFMT,integer,3,ROS-1 translocation
DSLMUFMT,integer,99,Other
DSLMUFMT,integer,0,None
DSLTCFMT,integer,1,Adenocarcinom
DSLTCFMT,integer,2,Squamous cell carcinoma
DSLTCFMT,integer,99,Other
DSLTCFMT__2F,integer,1,Adenocarcinom
DSLTCFMT__2F,integer,2,Plateepitelcarcinom
DSTRFMT,string,"12,5","12,5mg"
DSTRFMT,string,50,50mg
DSTRFMT,string,100,100mg
DVAL2FMT,integer,1,SEND AN ALERT TO PROJECT LEADER TO EVALUATE CORRECTIVE AND PREVENTIVE ACTION (CAPA)
DVALFMT,integer,1,SEND AN ALERT TO PRINCIPAL INVESTIGTOR TO APPROVE THE PD
ECOGFMT,integer,0,"0 - Normal activity. Fully active, able to carry on all pre-disease performance without restriction"
ECOGFMT,integer,1,"1 - Symptoms, but ambulatory. Restricted in physically strenuous activity, but ambulatory and able to carry out work of a light or sedentary nature (e.g., light house work, office work)"
ECOGFMT,integer,2,"2 - In bed <50% of the time. Ambulatory and capable of all self-care, but unable to carry out any work activities. Up and about more than 50% of waking hours"
ECOGFMT,integer,3,"3 - In bed >50% of the time. Capable of only limited self-care, confined to bed or chair more than 50% of waking hours"
ECOGFMT,integer,4,4 - 100% bedridden. Completely disabled. Cannot carry on any self-care. Totally confined to bed or chair
ECOGFMT,integer,5,5 - Dead
EIRANFMT,integer,1001,1001
EIRANFMT,integer,1002,1002
EIRANFMT,integer,1003,1003
EIRANFMT,integer,2001,2001
EIRANFMT,integer,2002,2002
EIRANFMT,integer,2003,2003
EIRANFMT,integer,1004,1004
EOSCDFMT,integer,1,Progressive disease
EOSCDFMT,integer,2,Adverse event
EOSCDFMT,integer,97,Other cause
EOSFMT,integer,1,Confirmed radiographic and/or clinical progression of neoplastic disease
EOSFMT,integer,2,Intercurrent illness that prevents continuation of therapy with the IMP
EOSFMT,integer,3,Intercurrent illness that prevents further MRI exams
EOSFMT,integer,4,Unacceptable incidental or adverse event(s) of grade 3 (severe) or grade 4 (life-threatening) rendering the participant unacceptable for further therapy with the IMP and/or MRI exams in the judgment of the study PI or treating physician
EOSFMT,integer,5,Participant demonstrates an inability or unwillingness to comply with study regimen and/or documentation requirements
EOSFMT,integer,6,Participant decides to withdraw from the study
EOSFMT,integer,7,General or specific changes in the participants' condition rendering the participant unacceptable for further therapy with the IMP in the judgment of the study PI or treating physician
EOSFMT,integer,8,Participant is lost to follow-up
EOSFMT,integer,10,Death
EOSFMT,integer,99,Other
EOTRFMT,integer,1,Unacceptable toxicity/AE
EOTRFMT,integer,2,Progressive disease according to RANO criteria
EOTRFMT,integer,3,Inability or unwillingness of the subject to comply with
EOTRFMT,integer,4,Subject decision
EOTRFMT,integer,5,Investigators decision
EOTRFMT,integer,6,Female subject becomes pregnant
EOTRFMT,integer,7,Study terminated by sponsor
EOTRFMT,integer,8,Death
EOTRFMT,integer,9,Protocol deviation
EOTRFMT,integer,99,Other
EOTRFMT,integer,10,Extracranial progression
EXIMMFMT,integer,1,Pembrolizumab
EXIMMFMT,integer,2,Atezolizumab
EXIMMFMT,integer,0,No administration
EXIMPFMT,integer,0,0mg
EXIMPFMT,integer,25,25mg
EXIMPFMT,integer,50,50mg
EXIMPFMT,integer,75,75mg
EXIMPFMT,integer,100,100mg
EXIMPFMT,integer,96,No administration
FUDOSFMT,integer,0,0mg
FUDOSFMT,integer,25,25mg
FUDOSFMT,integer,50,50mg
FUDOSFMT,integer,100,100mg
HINLOFMT,integer,1,High
HINLOFMT,integer,2,Normal
HINLOFMT,integer,3,Low
IMMTFMT,integer,1,Pembrolizumab
IMMTFMT,integer,2,Atezolizumab
IMMTFMT,integer,99,Other
KPSFMT,integer,100,"100 - Normal, no complaints, no evidence of disease"
KPSFMT,integer,90,90 - Able to carry on normal activity; minor signs or symptoms of disease
KPSFMT,integer,80,80 - Normal activity with effort: some signs or symptoms of disease
KPSFMT,integer,70,"70 - Cares for self, unable to carry on normal activity or to do active work"
KPSFMT,integer,60,"60 - Requires occasional assistance, but is able to care for most of his/her needs"
KPSFMT,integer,50,50 - Requires considerable assistance and frequent medical care
KPSFMT,integer,40,"40 - Disabled, requires special care and assistance"
KPSFMT,integer,30,"30 - Severely disabled, hospitalization indicated. Death not imminent"
KPSFMT,integer,20,"20 - Very sick, hospitalization indicated. Death not imminent"
KPSFMT,integer,10,"10 - Moribund, fatal processes progressing rapidly"
KPSFMT,integer,0,0 - Dead
LABFMT,integer,0,Negative
LABFMT,integer,1,Positive
LDOSFMT,string,25,25mg
LDOSFMT,string,50,50mg
LDOSFMT,string,100,100mg
NABNDFMT,integer,1,Normal
NABNDFMT,integer,2,"Abnormal, Not Clinically Significant"
NABNDFMT,integer,3,"Abnormal, Clinically Significant"
NABNDFMT,integer,96,Not done
NANLCFMT,integer,0,Normal
NANLCFMT,integer,1,Drowsy (easily arousable)
NANLCFMT,integer,2,Somnolent (difficult to arouse)
